code,name,regional_name,periphery_cluster,socio_cluster,socio_cluster_local,is_eligible
793,גבעתי,באר טוביה,5,7,7,True
2043,בחן,עמק חפר,5,8,8,True
778,תרום,מטה יהודה,5,7,7,True
3567,סלעית,שומרון,5,6,6,True
690,כפר אחים,באר טוביה,5,7,7,True
1034,קריית מלאכי,,5,3,,True
220,כפר ביאליק,זבולון,5,5,5,True
155,באר טוביה,באר טוביה,5,7,7,True
225,גן השומרון,מנשה,5,7,7,True
2011,ינון,באר טוביה,5,7,7,True
805,ישעי,מטה יהודה,5,7,7,True
1319,בת חפר,עמק חפר,5,8,8,True
7800,פרדס חנה-כרכור,,5,7,,True
1318,מבואות ים,עמק חפר,5,8,8,True
72,גן שמואל,מנשה,5,7,7,True
167,עין החורש,עמק חפר,5,8,8,True
406,חצור-אשדוד,באר טוביה,5,7,7,True
727,תלמי יחיאל,באר טוביה,5,7,7,True
779,עמינדב,מטה יהודה,5,7,7,True
3709,מבוא חורון,מטה בנימין,5,5,5,True
173,גבעת חיים (מאוחד),עמק חפר,5,8,8,True
1372,נצר חזני,נחל שורק,5,5,5,True
3575,בית חורון,מטה בנימין,5,5,5,True
752,תעוז,מטה יהודה,5,7,7,True
737,עולש,עמק חפר,5,8,8,True
186,נעורים,עמק חפר,5,8,8,True
456,שורש,מטה יהודה,5,7,7,True
756,בית עזרא,באר טוביה,5,7,7,True
816,זנוח,מטה יהודה,5,7,7,True
364,כפר אוריה,מטה יהודה,5,7,7,True
740,אשתאול,מטה יהודה,5,7,7,True
440,יסודות,נחל שורק,5,5,5,True
1259,נווה שלום,מטה יהודה,5,7,7,True
8200,קריית מוצקין,,5,7,,True
7100,אשקלון,,5,5,,True
1149,עזר,באר טוביה,5,7,7,True
3778,עץ אפרים,שומרון,5,6,6,True
564,רבדים,יואב,5,8,8,True
1157,אחווה,באר טוביה,5,7,7,True
3655,"ניל""י",מטה בנימין,5,5,5,True
205,חגלה,עמק חפר,5,8,8,True
742,מסילת ציון,מטה יהודה,5,7,7,True
817,עזריקם,באר טוביה,5,7,7,True
224,שושנת העמקים,עמק חפר,6,8,8,False
758,יד חנה,עמק חפר,5,8,8,True
405,נווה אילן,מטה יהודה,5,7,7,True
200,בית ינאי,עמק חפר,5,8,8,True
170,כפר יעבץ,לב השרון,5,8,8,True
837,עזריאל,לב השרון,5,8,8,True
776,מחסיה,מטה יהודה,5,7,7,True
772,אמונים,באר טוביה,5,7,7,True
827,נווה מבטח,באר טוביה,5,7,7,True
777,נחשון,מטה יהודה,5,7,7,True
2018,גבעת חיים (איחוד),עמק חפר,5,8,8,True
697,בארותיים,עמק חפר,5,8,8,True
577,יד בנימין,נחל שורק,6,5,5,True
286,מעלה החמישה,מטה יהודה,5,7,7,True
464,הראל,מטה יהודה,5,7,7,True
877,בית חירות,עמק חפר,5,8,8,True
1044,יעף,לב השרון,6,8,8,False
234,ביצרון,באר טוביה,6,7,7,False
9500,קריית ביאליק,,5,6,,True
588,בני ראם,נחל שורק,5,5,5,True
115,חופית,עמק חפר,5,8,8,True
41,אליכין,,6,7,,False
1043,גיזו,מטה יהודה,5,7,7,True
780,אורה,מטה יהודה,5,7,7,True
166,גן יבנה,,6,7,,False
2610,בית שמש,,5,2,,True
190,כפר ויתקין,עמק חפר,6,8,8,False
3730,גבעת זאב,,5,4,,True
741,שואבה,מטה יהודה,5,7,7,True
2033,בית חלקיה,נחל שורק,6,5,5,True
1134,יד השמונה,מטה יהודה,5,7,7,True
767,פורת,לב השרון,6,8,8,False
1371,גני טל,נחל שורק,6,5,5,True
3791,צופים,שומרון,6,6,6,False
514,עין ראפה,מטה יהודה,5,7,7,True
851,ניצני עוז,לב השרון,6,8,8,False
1056,"עין כרם-בי""ס חקלאי",מטה יהודה,6,7,7,False
3652,בית אריה-עופרים,,6,7,,False
3644,גבעון החדשה,מטה בנימין,5,5,5,True
796,צלפון,מטה יהודה,6,7,7,False
2006,כנות,באר טוביה,5,7,7,True
373,בית הלוי,עמק חפר,6,8,8,False
864,בקוע,מטה יהודה,6,7,7,False
700,חצב,באר טוביה,6,7,7,False
363,חפץ חיים,נחל שורק,6,5,5,True
423,העוגן,עמק חפר,6,8,8,False
462,טל שחר,מטה יהודה,6,7,7,False
3750,אלפי מנשה,,6,8,,False
